task,seed,step,gate_value
walker walk,456,120132,0.400
walker walk,456,125132,0.400
walker walk,456,130132,0.400
walker walk,456,135132,0.400
walker walk,456,140132,0.400
walker walk,456,145132,0.400
walker walk,456,150132,0.400
walker walk,456,155132,0.400
walker walk,456,160132,0.400
walker walk,456,165132,0.400
walker walk,456,170132,0.400
walker walk,456,175132,0.400
walker walk,456,180132,0.400
walker walk,456,185132,0.400
walker walk,456,190132,0.400
walker walk,456,195132,0.400
walker walk,456,200132,0.500
walker walk,456,205132,0.400
walker walk,456,210132,0.400
walker walk,456,215132,0.400
walker walk,456,220132,0.400
walker walk,456,225132,0.400
walker walk,456,230132,0.400
walker walk,456,235132,0.400
walker walk,456,240132,0.400
walker walk,456,245132,0.400
walker walk,456,250132,0.400
walker walk,456,255132,0.400
walker walk,456,260132,0.400
walker walk,456,265132,0.400
walker walk,456,270132,0.400
walker walk,456,275132,0.400
walker walk,456,280132,0.400
walker walk,456,285132,0.500
walker walk,456,290132,0.400
walker walk,456,295132,0.400
walker walk,456,300132,0.500
walker walk,456,305132,0.500
